OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,Shape_Length,Shape_Area
139,98345,98345,035,PO Box,22192.8814894426,26810071.5221679
140,98346,98346,035,Standard,217811.697551483,1592781722.67103
141,98349,98349,053,Standard,158957.210176018,1073807097.14326
142,98340,98340,035,Standard,117381.343260366,760918895.106822
143,98342,98342,035,Standard,60416.4339610242,195618375.885729
144,98396,98396,053,Standard,735525.48309726,12041118450.9687
145,98405,98405,053,Standard,50261.100128424,119311831.310461
146,98397,98397,053,Standard,428882.206996894,8546367830.66873
147,98402,98402,053,Standard,29981.6904420603,26864885.142692
148,98354,98354,053,Standard,41500.7194148439,57586161.1375738
149,98359,98359,035,Standard,91932.2049634166,450601061.465561
150,98360,98360,053,Standard,253905.892081347,1460825810.74423
151,98366,98366,035,Standard,157427.757168218,1104988859.07037
152,98367,98367,035,Standard,226767.590579314,2236344631.85054
153,98370,98370,035,Standard,299945.484756106,2089770864.92458
154,98371,98371,053,Standard,94169.3117630309,362704639.243807
155,98372,98372,053,Standard,108969.639015605,373917060.274806
156,98373,98373,053,Standard,64284.7284115207,257979684.614837
157,98374,98374,053,Standard,108095.145660153,467542203.688638
158,98375,98375,053,Standard,65271.0364044036,258436981.076223
159,98380,98380,035,Standard,220698.676009802,1756054324.31305
160,98383,98383,035,Standard,139590.410685734,581580549.919482
161,98385,98385,053,Standard,13894.8279792335,11206789.0517275
162,98387,98387,053,Standard,222586.298015202,600727096.47732
163,98388,98388,053,Standard,147849.45962154,749838965.123149
164,98390,98390,053,Standard,102124.291492003,259404678.153172
165,98391,98391,053,Standard,195916.193070567,1080336416.19329
166,98392,98392,035,Standard,44989.0847713514,67162094.2665699
167,98403,98403,053,Standard,42022.9120111431,94973265.8780758
168,98404,98404,053,Standard,61572.1532475272,216064462.51601
169,98394,98394,053,Standard,64946.2002539746,218128727.645247
170,98406,98406,053,Standard,68358.0234382797,127371066.482944
171,98826,98826,,Standard,845304.386583454,26180293040.0926
172,98922,98922,037,Standard,871202.840237978,17220076339.0392
173,98925,98925,037,Standard,513881.75561834,5997914904.4595
174,98926,98926,037,Standard,947568.861297733,32490465847.5645
175,98934,98934,037,PO Box,21908.6905747336,12289665.0654034
176,98940,98940,037,PO Box,465055.06553898,5451150404.5628
177,98941,98941,037,PO Box,128017.069816111,357024286.209639
178,98943,98943,037,PO Box,14265.7191524655,10064275.3951149
179,98407,98407,053,Standard,89427.6066021157,407065888.313994
180,98408,98408,053,Standard,40949.9216956624,95930078.0846862
181,98409,98409,053,Standard,74004.1799257125,203658771.395322
182,98416,98416,053,Unique,9681.51226136936,4084771.59833299
183,98418,98418,053,Standard,27782.0268112828,46885764.1226016
184,98421,98421,053,Standard,71249.4507751763,245586500.613946
185,98422,98422,033,Standard,19494.4953478561,2405966.39440256
186,98422,98422,053,Standard,88468.6890598855,285729489.02827
187,98424,98424,053,Standard,70301.3632964295,151535020.460355
188,98430,98430,053,Standard,16682.2916373454,13323856.205509
189,98433,98433,053,Standard,365217.189423867,2980563832.54216
190,98438,98438,053,Standard,74075.4039876706,179111621.16739
191,98439,98439,053,Standard,31208.6746879129,32367051.3095343
192,98443,98443,053,Standard,51842.2282453735,138725726.1697
193,98444,98444,053,Standard,84939.7842849281,193899333.485341
194,98445,98445,053,Standard,95666.1493196208,302059701.039174
195,98446,98446,053,Standard,92261.2847446496,303052697.022457
196,98447,98447,053,Unique,9413.06547618662,3176084.47231763
197,98465,98465,053,Standard,41951.2070752305,66626905.1136928
198,98466,98466,053,Standard,62248.0816288985,197545697.254532
199,98499,98499,053,Standard,82258.8314442442,258668276.067722
200,98580,98580,053,Standard,234421.90642829,1813778218.6739
201,98467,98467,053,Standard,65464.8257501062,154582683.955679
202,98498,98498,053,Standard,94191.6298205216,271504227.425359
203,98946,98946,037,Standard,148179.572806545,836663894.394367
204,98950,98950,037,PO Box,209701.375729641,915724778.436799
